-39.83118596	-57.09409728
-42.76410351	-62.58140799
-45.69702105	-65.85330428
-48.6299386	-71.34061503
-51.56285614	-74.61251128
-54.49577368	-80.09982206
-57.42869123	-83.37171828
-60.36160877	-88.85902909
-63.29452632	-92.13092529
-66.22744386	-97.61823612
-69.1603614	-100.8901323
-72.09327895	-106.3774432
-75.02619649	-109.6493393
-77.95911404	-115.1366502
-80.89203158	-118.4085463
-83.82494912	-123.8958572
-86.75786667	-127.1677533
-89.69078421	-132.6550643
-92.62370175	-135.9269603
-95.5566193	-141.4142713
-98.48953684	-144.6861673
-101.4224544	-150.1734783
-104.3553719	-153.4453743
-107.2882895	-158.9326854
-110.221207	-162.2045813
-113.1541246	-167.6918924
-116.0870421	-170.9637883
-119.0199596	-176.4510994
-121.9528772	-179.7229953
-124.8857947	-185.2103065
-127.8187123	-185.2103065
-130.7516298	-193.9695135
-133.6845474	-197.2414093
-133.6845474	-197.2414093
