7256774 	6447742 	112.55
8369097 	7183871 	116.50
8757613 	7509806 	116.62
9713935 	8286710 	117.22
9028387 	7676129 	117.62
8225161 	6949355 	118.36
8538323 	7136258 	119.65
8458645 	7070645 	119.63
8055742 	6784065 	118.75
7917935 	6652581 	119.02
8141290 	6856516 	118.74
7915097 	6690129 	118.31
7232129 	6084581 	118.86
7475226 	6265613 	119.31
7861097 	6673226 	117.80
7557355 	6009742 	125.75
7793935 	6591419 	118.24
8574323 	7390129 	116.03
8056839 	7027935 	114.64
8420710 	7774258 	108.32
11286581 	10896258 	103.58
10200774 	9468839 	107.73
10274065 	9217548 	111.46
10042452 	9122516 	110.08
10398968 	9404065 	110.58
14006323 	13675871 	102.42
13252710 	12983548 	102.07
12551097 	12295032 	102.08
13374387 	13046452 	102.51
11792645 	11554258 	102.06
10257613 	10122065 	101.34
9913419 	9799935 	101.16
9825419 	9659484 	101.72
11404645 	11052129 	103.19
9830452 	9621806 	102.17
9581548 	9189548 	104.27
10202323 	9753677 	104.60
9917677 	9577484 	103.55
9341677 	8952968 	104.34
10573161 	10174000 	103.92
10855935 	10350968 	104.88
11627161 	11107032 	104.68
12213484 	11653226 	104.81
12550516 	12110387 	103.63
12893935 	12375806 	104.19
13730581 	13190387 	104.10
12648839 	12207032 	103.62
13582903 	13200581 	102.90
10791935 	10483871 	102.94
12216516 	11890323 	102.74
12107871 	11486516 	105.41
11572452 	11546516 	100.22
13644258 	13138710 	103.85
10026516 	9749419 	102.84
5449226 	5526194 	98.61
6950065 	6722774 	103.38
6456968 	6175613 	104.56
8308903 	7944968 	104.58
9159613 	8815742 	103.90
8273290 	8182452 	101.11
8678839 	8539548 	101.63
8555097 	8530065 	100.29
7679742 	7771677 	98.82
7698000 	7780452 	98.94
6415742 	6508000 	98.58
6459290 	6505355 	99.29
6252968 	6081484 	102.82
5233742 	5252194 	99.65
4991484 	4990774 	100.01
4484194 	4615806 	97.15
4066903 	4224000 	96.28
3836968 	3886065 	98.74
3421161 	3598581 	95.07
3306323 	3431935 	96.34
3196516 	3360323 	95.13
2974839 	3201742 	92.91
2470452 	2700387 	91.49
2655097 	2887613 	91.95
2374323 	2622516 	90.54
2144387 	2500258 	85.77
1857097 	2285871 	81.24
1609806 	2028258 	79.37
1538452 	1916710 	80.27
1215871 	1592000 	76.37
986903 	1308387 	75.43
936065 	1262774 	74.12
638387 	955677 	66.80
570645 	890516 	64.08
433290 	682968 	63.45
315032 	524839 	60.01
261806 	464387 	56.37
185484 	340645 	54.46
135742 	266129 	51.00
105935 	190968 	55.48
74774 	153032 	48.88
48065 	104129 	46.11
28645 	69226 	41.32
19161 	52065 	36.77
11419 	32452 	35.22
7677 	23161 	33.24
10645 	38065 	27.99
